OrderID,OrderDate,CustomerID,CustomerType,Region,State,Product,Category,Quantity,UnitPrice,Discount,SalesChannel,PaymentMethod,ShippingMethod,Returned,CustomerRating
ORD-110092,########,CUST-1600,Returning,West,CA,Wireless Mouse,Electronics,2,36.48,0,Retail Store,Apple Pay,2-Day,No,3
ORD-102705,########,CUST-6641,Returning,Northeast,CT,USB-C Hub,Electronics,1,41.12,0.1,Online,Apple Pay,Next Day,No,
ORD-103027,########,CUST-2542,New,Southeast,NC,Jacket,Clothing,1,122.56,0.15,Online,Bank Transfer,Express,No,3
ORD-102280,2/3/2026,CUST-6731,New,West,AZ,Foam Roller,Fitness,1,26.55,0,Marketplace,Credit Card,Express,No,5
ORD-103454,########,CUST-3695,Returning,West,AZ,Smart Watch,Electronics,1,151.36,0.15,Retail Store,Credit Card,Standard,No,3
ORD-111259,########,CUST-5717,VIP,West,AZ,Standing Desk,Home & Office,1,346.78,0.1,Retail Store,PayPal,Standard,No,4
ORD-107532,6/4/2026,CUST-5159,New,southeast,NC,Desk Lamp,Home & Office,2,47.84,0,Online,Debit Card,Express,No,1
ORD-107214,########,CUST-5383,Returning,Southeast,NC,Jacket,Clothing,3,120.82,0.05,Online,Debit Card,Express,No,
ORD-110510,4/8/2026,CUST-5252,Returning,Southwest,NM,Office Chair,Home & Office,3,180.22,0,Online,Debit Card,2-Day,No,5
ORD-101158,1/4/2026,CUST-3339,Returning,Southwest,TX,Dumbbell Set,Fitness,1,133.55,0,Online,Debit Card,Express,No,5
ORD-106536,########,CUST-6629,New,Northeast,CT,Smart Watch,Electronics,2,150.59,0,Online,PayPal,Express,No,
ORD-106335,########,CUST-1370,New,Northeast,MA,Standing Desk,Home & Office,1,$326.38,0.1,Corporate,Bank Transfer,Standard,No,4
ORD-108801,########,CUST-1911,Returning,Southeast,TN,Desk Lamp,Home & Office,2,46.03,0.1,Online,Debit Card,Standard,No,4
ORD-104387,########,CUST-4931,Returning,Southwest,NM,Running Shoes,Clothing,1,84.75,0.05,Retail Store,Bank Transfer,2-Day,No,4
ORD-109151,########,CUST-5541,Returning,West,OR,Fitness Tracker,Fitness,1,80.78,0.05,Online,Credit Card,Express,No,5
ORD-101925,########,CUST-5972,New,Southeast,TN,Wireless Mouse,Electronics,1,35.47,0.1,Marketplace,Bank Transfer,Standard,No,5
ORD-110978,7/3/2026,CUST-2932,Returning,Southwest,NM,Yoga Mat,Fitness,1,34.11,0.1,Marketplace,PayPal,Standard,No,
ORD-112185,########,CUST-3840,New,Northeast,NJ,Notebook Set,Home & Office,1,18.9,0,Online,Debit Card,Next Day,Yes,5
ORD-102362,5/3/2025,CUST-1579,Returning,Northeast,MA,Smart Watch,Electronics,2,143.09,0.2,Retail Store,Credit Card,Standard,No,4
ORD-110955,########,CUST-5822,Returning,Southeast,FL,Jeans,Clothing,1,66.77,0.15,Online,Credit Card,Standard,No,5
ORD-100156,########,CUST-3267,Returning,Northeast,NJ,Desk Lamp,Home & Office,3,47.57,0.05,Online,Credit Card,2-Day,No,5
ORD-111328,3/6/2026,CUST-2547,Returning,Midwest,MO,T-Shirt,Clothing,2,$25.09,0,Marketplace,Apple Pay,2-Day,No,5
ORD-107107,########,CUST-6471,Returning,Midwest,OH,Bluetooth Speaker,Electronics,1,69.97,0.1,Retail Store,Credit Card,Standard,No,5
ORD-106927,########,CUST-1386,Returning,Southwest,OK,USB-C Hub,electronics,1,38.22,0,Retail Store,Bank Transfer,Express,No,3
ORD-105187,1/8/2026,CUST-3104,Returning,Southeast,NC,Yoga Mat,Fitness,3,36.25,0,Retail Store,Debit Card,Express,No,3
ORD-111234,########,CUST-2135,Returning,Southeast,VA,Monitor Stand,Home & Office,2,59.8,0.1,Online,Debit Card,Express,No,3
ORD-108101,########,CUST-1469,Returning,Southwest,NM,Jacket,Clothing,4,124.64,0,Online,PayPal,Express,No,4
ORD-105732,########,CUST-4413,Returning,West,AZ,Desk Organizer,Home & Office,1,$25.60,0.15,Online,Apple Pay,2-Day,No,4
ORD-109975,########,CUST-3829,New,Northeast,NY,Wireless Mouse,Electronics,1,32.94,0.05,Marketplace,Apple Pay,Express,No,3
ORD-110724,########,CUST-4551,New,Southeast,VA,Wireless Headphones,Electronics,1,89.3,0,Retail Store,PayPal,Standard,No,4
ORD-110131,3/4/2026,CUST-4519,New,West,CA,Bluetooth Speaker,Electronics,1,70.95,0.1,Online,Credit Card,Express,No,3
ORD-104467,########,CUST-6455,Returning,Midwest,MN,Wireless Headphones,Electronics,1,88.23,0.05,Retail Store,Apple Pay,Standard,No,4
ORD-101541,########,CUST-5160,Returning,Midwest,IL,Mechanical Keyboard,Electronics,2,95.26,0.1,Online,Bank Transfer,Standard,No,5
ORD-110326,########,CUST-3072,VIP,Southeast,TN,Yoga Mat,Fitness,3,33.24,0.05,Online,Apple Pay,2-Day,No,3
ORD-110206,9/1/2025,CUST-4556,Returning,West,NV,Yoga Mat,Fitness,2,37.02,0.05,Marketplace,Credit Card,2-Day,No,5
ORD-107588,########,CUST-2517,RETURNING,Southeast,GA,Wireless Mouse,electronics,2,$34.51,0,Retail Store,Debit Card,Standard,No,5
ORD-101703,4/1/2026,CUST-1866,New,Northeast,NJ,Dumbbell Set,Fitness,4,129.66,0.05,Online,Apple Pay,2-Day,No,4
ORD-103482,########,CUST-4556,New,Northeast,CT,Yoga Mat,Fitness,2,37.12,0,Online,Debit Card,2-Day,No,5
ORD-100930,########,CUST-4104,New,West,WA,Backpack,Clothing,4,52.78,0.05,Marketplace,Bank Transfer,Standard,Yes,5
ORD-104068,3/8/2026,CUST-4509,New,Southwest,OK,Mechanical Keyboard,Electronics,1,91.83,0,Retail Store,Bank Transfer,2-Day,No,5
ORD-107398,########,CUST-1607,Returning,Southwest,TX,Monitor Stand,Home & Office,2,60.9,0,Online,Apple Pay,Standard,No,5
ORD-112319,########,CUST-5135,Returning,Southeast,GA,USB-C Hub,ELECTRONICS,2,42.63,0.1,Online,Debit Card,Standard,No,4
ORD-107821,########,CUST-2523,New,SOUTHEAST,TN,Hoodie,Clothing,1,50.68,0.1,Online,Bank Transfer,Standard,No,4
ORD-100580,########,CUST-5805,Returning,West,OR,USB-C Hub,Electronics,1,38.29,0,Corporate,Bank Transfer,Express,No,4
ORD-103229,7/2/2026,CUST-6225,Returning,southeast,TN,Notebook Set,Home & Office,2,19.15,0.15,Marketplace,Apple Pay,Standard,No,4
ORD-103737,########,CUST-2253,Returning,Midwest,MO,Bluetooth Speaker,Electronics,1,68.76,0,Online,Credit Card,Standard,No,5
ORD-104647,4/4/2026,CUST-3131,Returning,West,OR,Backpack,Clothing,1,49.59,0.1,Marketplace,Apple Pay,Standard,No,5
ORD-104580,########,CUST-2531,New,Northeast,NY,Fitness Tracker,Fitness,1,74.58,0,Online,Credit Card,Express,No,4
ORD-100125,2/9/2026,CUST-5114,Returning,Northeast,PA,Bluetooth Speaker,Electronics,1,69.13,0,Corporate,Debit Card,2-Day,No,2
ORD-100776,########,CUST-2111,New,midwest,IL,Hoodie,Clothing,1,59,0,Marketplace,Debit Card,Express,No,
ORD-105876,########,CUST-5635,Returning,Southwest,OK,Notebook Set,Home & Office,1,19.17,0,Online,PayPal,Standard,No,4
ORD-103463,########,CUST-4529,New,Southwest,TX,USB-C Hub,electronics,4,40.93,0.2,Marketplace,Apple Pay,Standard,No,5
ORD-104791,9/3/2025,CUST-5376,New,Midwest,OH,Hoodie,Clothing,1,56.82,0,Online,Credit Card,Next Day,No,5
ORD-102031,########,CUST-2987,New,Southeast,FL,Bluetooth Speaker,Electronics,2,65.42,0,Online,Credit Card,Standard,No,4
ORD-104987,########,CUST-1261,Returning,Southwest,OK,Monitor Stand,Home & Office,2,$61.81,0,Online,Bank Transfer,Express,Yes,4
ORD-106011,########,CUST-4748,Returning,Southwest,NM,Smart Watch,Electronics,1,147.25,0,Online,PayPal,Standard,No,3
ORD-107478,########,CUST-4234,Returning,Midwest,MI,Yoga Mat,Fitness,1,37.24,0,Retail Store,Apple Pay,Standard,No,
ORD-107185,########,CUST-3467,Returning,West,WA,Resistance Bands,Fitness,1,23.34,0.05,Online,PayPal,Standard,No,5
ORD-108967,########,CUST-6765,VIP,West,CA,Hoodie,clothing,1,52.17,0.2,Online,Credit Card,Standard,No,5
ORD-110922,########,CUST-3691,Returning,Southwest,NM,USB-C Hub,Electronics,4,42.72,0.1,Retail Store,Apple Pay,Standard,No,4
ORD-107030,2/8/2025,CUST-5553,New,Southeast,FL,Hoodie,Clothing,2,52.83,0,Marketplace,Bank Transfer,Express,No,
ORD-111079,6/6/2025,CUST-1677,VIP,Southwest,TX,Wireless Headphones,Electronics,2,94.97,0,Marketplace,Credit Card,Next Day,No,5
ORD-101824,########,CUST-1207,New,Southwest,OK,Jeans,,1,60.16,0.05,Online,Debit Card,Express,No,3
ORD-100538,########,CUST-6684,Returning,West,NV,Smart Watch,Electronics,1,150.16,0.15,Online,Credit Card,Standard,No,5
ORD-102650,########,CUST-6463,Returning,Midwest,IL,Dumbbell Set,Fitness,1,124.31,0.1,Marketplace,PayPal,Standard,No,
ORD-103220,########,CUST-2196,New,West,OR,Wireless Headphones,Electronics,1,84.58,0,Online,Debit Card,Express,No,4
