OrderID,OrderDate,CustomerID,CustomerType,Region,State,Product,Category,Quantity,UnitPrice,Discount,SalesChannel,PaymentMethod,ShippingMethod,Returned,CustomerRating,Revenue,Month
ORD-110092,,CUST-1600,Returning,West,CA,Wireless Mouse,Electronics,2,36.48,0.0,Retail Store,Apple Pay,2-Day,No,3.0,72.96,
ORD-102705,,CUST-6641,Returning,Northeast,CT,USB-C Hub,Electronics,1,41.12,0.1,Online,Apple Pay,Next Day,No,Unknown,37.01,
ORD-103027,,CUST-2542,New,Southeast,NC,Jacket,Clothing,1,122.56,0.15,Online,Bank Transfer,Express,No,3.0,104.18,
ORD-102280,2026-02-03,CUST-6731,New,West,AZ,Foam Roller,Fitness,1,26.55,0.0,Marketplace,Credit Card,Express,No,5.0,26.55,2026-02
ORD-103454,,CUST-3695,Returning,West,AZ,Smart Watch,Electronics,1,151.36,0.15,Retail Store,Credit Card,Standard,No,3.0,128.66,
ORD-111259,,CUST-5717,Vip,West,AZ,Standing Desk,Home & Office,1,346.78,0.1,Retail Store,PayPal,Standard,No,4.0,312.1,
ORD-107532,2026-06-04,CUST-5159,New,Southeast,NC,Desk Lamp,Home & Office,2,47.84,0.0,Online,Debit Card,Express,No,1.0,95.68,2026-06
ORD-107214,,CUST-5383,Returning,Southeast,NC,Jacket,Clothing,3,120.82,0.05,Online,Debit Card,Express,No,Unknown,344.34,
ORD-110510,2026-04-08,CUST-5252,Returning,Southwest,NM,Office Chair,Home & Office,3,180.22,0.0,Online,Debit Card,2-Day,No,5.0,540.66,2026-04
ORD-101158,2026-01-04,CUST-3339,Returning,Southwest,TX,Dumbbell Set,Fitness,1,133.55,0.0,Online,Debit Card,Express,No,5.0,133.55,2026-01
ORD-106536,,CUST-6629,New,Northeast,CT,Smart Watch,Electronics,2,150.59,0.0,Online,PayPal,Express,No,Unknown,301.18,
ORD-106335,,CUST-1370,New,Northeast,MA,Standing Desk,Home & Office,1,326.38,0.1,Corporate,Bank Transfer,Standard,No,4.0,293.74,
ORD-108801,,CUST-1911,Returning,Southeast,TN,Desk Lamp,Home & Office,2,46.03,0.1,Online,Debit Card,Standard,No,4.0,82.85,
ORD-104387,,CUST-4931,Returning,Southwest,NM,Running Shoes,Clothing,1,84.75,0.05,Retail Store,Bank Transfer,2-Day,No,4.0,80.51,
ORD-109151,,CUST-5541,Returning,West,OR,Fitness Tracker,Fitness,1,80.78,0.05,Online,Credit Card,Express,No,5.0,76.74,
ORD-101925,,CUST-5972,New,Southeast,TN,Wireless Mouse,Electronics,1,35.47,0.1,Marketplace,Bank Transfer,Standard,No,5.0,31.92,
ORD-110978,2026-07-03,CUST-2932,Returning,Southwest,NM,Yoga Mat,Fitness,1,34.11,0.1,Marketplace,PayPal,Standard,No,Unknown,30.7,2026-07
ORD-112185,,CUST-3840,New,Northeast,NJ,Notebook Set,Home & Office,1,18.9,0.0,Online,Debit Card,Next Day,Yes,5.0,18.9,
ORD-102362,2025-05-03,CUST-1579,Returning,Northeast,MA,Smart Watch,Electronics,2,143.09,0.2,Retail Store,Credit Card,Standard,No,4.0,228.94,2025-05
ORD-110955,,CUST-5822,Returning,Southeast,FL,Jeans,Clothing,1,66.77,0.15,Online,Credit Card,Standard,No,5.0,56.75,
ORD-100156,,CUST-3267,Returning,Northeast,NJ,Desk Lamp,Home & Office,3,47.57,0.05,Online,Credit Card,2-Day,No,5.0,135.57,
ORD-111328,2026-03-06,CUST-2547,Returning,Midwest,MO,T-Shirt,Clothing,2,25.09,0.0,Marketplace,Apple Pay,2-Day,No,5.0,50.18,2026-03
ORD-107107,,CUST-6471,Returning,Midwest,OH,Bluetooth Speaker,Electronics,1,69.97,0.1,Retail Store,Credit Card,Standard,No,5.0,62.97,
ORD-106927,,CUST-1386,Returning,Southwest,OK,USB-C Hub,Electronics,1,38.22,0.0,Retail Store,Bank Transfer,Express,No,3.0,38.22,
ORD-105187,2026-01-08,CUST-3104,Returning,Southeast,NC,Yoga Mat,Fitness,3,36.25,0.0,Retail Store,Debit Card,Express,No,3.0,108.75,2026-01
ORD-111234,,CUST-2135,Returning,Southeast,VA,Monitor Stand,Home & Office,2,59.8,0.1,Online,Debit Card,Express,No,3.0,107.64,
ORD-108101,,CUST-1469,Returning,Southwest,NM,Jacket,Clothing,4,124.64,0.0,Online,PayPal,Express,No,4.0,498.56,
ORD-105732,,CUST-4413,Returning,West,AZ,Desk Organizer,Home & Office,1,25.6,0.15,Online,Apple Pay,2-Day,No,4.0,21.76,
ORD-109975,,CUST-3829,New,Northeast,NY,Wireless Mouse,Electronics,1,32.94,0.05,Marketplace,Apple Pay,Express,No,3.0,31.29,
ORD-110724,,CUST-4551,New,Southeast,VA,Wireless Headphones,Electronics,1,89.3,0.0,Retail Store,PayPal,Standard,No,4.0,89.3,
ORD-110131,2026-03-04,CUST-4519,New,West,CA,Bluetooth Speaker,Electronics,1,70.95,0.1,Online,Credit Card,Express,No,3.0,63.86,2026-03
ORD-104467,,CUST-6455,Returning,Midwest,MN,Wireless Headphones,Electronics,1,88.23,0.05,Retail Store,Apple Pay,Standard,No,4.0,83.82,
ORD-101541,,CUST-5160,Returning,Midwest,IL,Mechanical Keyboard,Electronics,2,95.26,0.1,Online,Bank Transfer,Standard,No,5.0,171.47,
ORD-110326,,CUST-3072,Vip,Southeast,TN,Yoga Mat,Fitness,3,33.24,0.05,Online,Apple Pay,2-Day,No,3.0,94.73,
ORD-110206,2025-09-01,CUST-4556,Returning,West,NV,Yoga Mat,Fitness,2,37.02,0.05,Marketplace,Credit Card,2-Day,No,5.0,70.34,2025-09
ORD-107588,,CUST-2517,Returning,Southeast,GA,Wireless Mouse,Electronics,2,34.51,0.0,Retail Store,Debit Card,Standard,No,5.0,69.02,
ORD-101703,2026-04-01,CUST-1866,New,Northeast,NJ,Dumbbell Set,Fitness,4,129.66,0.05,Online,Apple Pay,2-Day,No,4.0,492.71,2026-04
ORD-103482,,CUST-4556,New,Northeast,CT,Yoga Mat,Fitness,2,37.12,0.0,Online,Debit Card,2-Day,No,5.0,74.24,
ORD-100930,,CUST-4104,New,West,WA,Backpack,Clothing,4,52.78,0.05,Marketplace,Bank Transfer,Standard,Yes,5.0,200.56,
ORD-104068,2026-03-08,CUST-4509,New,Southwest,OK,Mechanical Keyboard,Electronics,1,91.83,0.0,Retail Store,Bank Transfer,2-Day,No,5.0,91.83,2026-03
ORD-107398,,CUST-1607,Returning,Southwest,TX,Monitor Stand,Home & Office,2,60.9,0.0,Online,Apple Pay,Standard,No,5.0,121.8,
ORD-112319,,CUST-5135,Returning,Southeast,GA,USB-C Hub,Electronics,2,42.63,0.1,Online,Debit Card,Standard,No,4.0,76.73,
ORD-107821,,CUST-2523,New,Southeast,TN,Hoodie,Clothing,1,50.68,0.1,Online,Bank Transfer,Standard,No,4.0,45.61,
ORD-100580,,CUST-5805,Returning,West,OR,USB-C Hub,Electronics,1,38.29,0.0,Corporate,Bank Transfer,Express,No,4.0,38.29,
ORD-103229,2026-07-02,CUST-6225,Returning,Southeast,TN,Notebook Set,Home & Office,2,19.15,0.15,Marketplace,Apple Pay,Standard,No,4.0,32.56,2026-07
ORD-103737,,CUST-2253,Returning,Midwest,MO,Bluetooth Speaker,Electronics,1,68.76,0.0,Online,Credit Card,Standard,No,5.0,68.76,
ORD-104647,2026-04-04,CUST-3131,Returning,West,OR,Backpack,Clothing,1,49.59,0.1,Marketplace,Apple Pay,Standard,No,5.0,44.63,2026-04
